"","sensor","time","pm_1","pm_25","pm_10","location","day","sen","build_age","direction"
"317",3,292744,15,29,32,"in","Tuesday","03","new","east"
"318",3,293656,15,28,30,"in","Tuesday","03","new","east"
"319",3,294567,14,26,28,"in","Tuesday","03","new","east"
"320",3,295479,14,28,29,"in","Tuesday","03","new","east"
"321",3,296391,13,28,29,"in","Tuesday","03","new","east"
"322",3,297304,13,28,28,"in","Tuesday","03","new","east"
"323",3,298144,13,28,28,"in","Tuesday","03","new","east"
"324",3,298986,13,28,28,"in","Tuesday","03","new","east"
"325",3,299897,13,27,27,"in","Tuesday","03","new","east"
"326",3,300739,13,27,27,"in","Tuesday","03","new","east"
"327",3,301580,13,27,27,"in","Tuesday","03","new","east"
"328",3,302492,13,27,28,"in","Tuesday","03","new","east"
"329",3,303333,13,27,28,"in","Tuesday","03","new","east"
"330",3,304175,13,27,28,"in","Tuesday","03","new","east"
"331",3,305087,15,29,30,"in","Tuesday","03","new","east"
"332",3,305929,15,29,30,"in","Tuesday","03","new","east"
"333",3,306769,15,29,30,"in","Tuesday","03","new","east"
"334",3,307682,14,28,29,"in","Tuesday","03","new","east"
"335",3,308523,14,28,29,"in","Tuesday","03","new","east"
"336",3,309364,14,28,29,"in","Tuesday","03","new","east"
"337",3,310277,16,29,32,"in","Tuesday","03","new","east"
"338",3,311117,16,29,32,"in","Tuesday","03","new","east"
"339",3,311959,16,29,32,"in","Tuesday","03","new","east"
"340",3,312870,16,29,32,"in","Tuesday","03","new","east"
"341",3,313783,16,31,34,"in","Tuesday","03","new","east"
"342",3,314695,16,30,36,"in","Tuesday","03","new","east"
"343",3,315608,17,31,37,"in","Tuesday","03","new","east"
"344",3,316520,17,31,37,"in","Tuesday","03","new","east"
"345",3,317431,17,32,38,"in","Tuesday","03","new","east"
"346",3,318344,17,30,35,"in","Tuesday","03","new","east"
"347",3,319255,16,30,35,"in","Tuesday","03","new","east"
"348",3,320167,16,30,35,"in","Tuesday","03","new","east"
"349",3,321080,16,30,34,"in","Tuesday","03","new","east"
"350",3,321991,15,29,36,"in","Tuesday","03","new","east"
"351",3,322904,15,28,35,"in","Tuesday","03","new","east"
"352",3,323816,16,28,34,"in","Tuesday","03","new","east"
"353",3,324657,16,28,34,"in","Tuesday","03","new","east"
"354",3,325498,17,29,35,"in","Tuesday","03","new","east"
"355",3,326411,17,30,37,"in","Tuesday","03","new","east"
"356",3,327252,17,30,37,"in","Tuesday","03","new","east"
"357",3,328093,17,30,37,"in","Tuesday","03","new","east"
"358",3,329006,17,30,38,"in","Tuesday","03","new","east"
"359",3,329847,17,30,38,"in","Tuesday","03","new","east"
"360",3,330688,16,29,37,"in","Tuesday","03","new","east"
"361",3,331600,16,29,38,"in","Tuesday","03","new","east"
"362",3,332441,16,29,38,"in","Tuesday","03","new","east"
"363",3,333283,16,29,38,"in","Tuesday","03","new","east"
"364",3,334195,18,31,40,"in","Tuesday","03","new","east"
"365",3,335036,18,31,40,"in","Tuesday","03","new","east"
"366",3,335878,18,31,40,"in","Tuesday","03","new","east"
"367",3,336790,17,31,40,"in","Tuesday","03","new","east"
"368",3,337631,17,31,40,"in","Tuesday","03","new","east"
"369",3,338472,17,31,40,"in","Tuesday","03","new","east"
"370",3,339384,17,30,39,"in","Tuesday","03","new","east"
"371",3,340225,17,30,39,"in","Tuesday","03","new","east"
"372",3,341066,17,30,39,"in","Tuesday","03","new","east"
"373",3,341979,17,30,39,"in","Tuesday","03","new","east"
"374",3,342891,17,32,38,"in","Tuesday","03","new","east"
"375",3,343802,17,31,38,"in","Tuesday","03","new","east"
"376",3,344715,17,31,38,"in","Tuesday","03","new","east"
"377",3,345626,16,29,33,"in","Tuesday","03","new","east"
"378",3,346539,15,29,33,"in","Tuesday","03","new","east"
"379",3,347450,14,27,30,"in","Tuesday","03","new","east"
"380",3,348362,13,27,30,"in","Tuesday","03","new","east"
"381",3,349274,14,28,30,"in","Tuesday","03","new","east"
"382",3,350186,14,28,31,"in","Tuesday","03","new","east"
"383",3,351097,14,26,29,"in","Tuesday","03","new","east"
"384",3,352010,14,25,27,"in","Tuesday","03","new","east"
"385",3,352922,15,26,28,"in","Tuesday","03","new","east"
"386",3,353833,14,25,29,"in","Tuesday","03","new","east"
"387",3,354746,15,26,31,"in","Tuesday","03","new","east"
"388",3,355658,15,26,31,"in","Tuesday","03","new","east"
"389",3,356500,15,26,31,"in","Tuesday","03","new","east"
"390",3,357341,15,26,31,"in","Tuesday","03","new","east"
"391",3,358253,17,30,35,"in","Tuesday","03","new","east"
"392",3,359165,17,30,37,"in","Tuesday","03","new","east"
"393",3,360078,18,30,38,"in","Tuesday","03","new","east"
"394",3,360990,19,31,43,"in","Tuesday","03","new","east"
"395",3,361903,19,32,44,"in","Tuesday","03","new","east"
"396",3,362815,20,33,45,"in","Tuesday","03","new","east"
